# emoji-sequences.txt
# Date: 2019-01-15, 12:17:16 GMT
# © 2019 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# Emoji Sequence Data for UTS #51
# Version: 12.0
#
# For documentation and usage, see http://www.unicode.org/reports/tr51
#
# Format:
#   code_point(s) ; type_field ; description # comments 
# Fields:
#   code_point(s): one or more code points in hex format, separated by spaces
#   type_field, one of the following: 
#       Basic_Emoji
#       Emoji_Keycap_Sequence
#       Emoji_Flag_Sequence
#       Emoji_Tag_Sequence
#       Emoji_Modifier_Sequence
#     The type_field is a convenience for parsing the emoji sequence files, and is not intended to be maintained as a property.
#   short name: CLDR short name of sequence; characters may be escaped with \x{hex}.
#
# Characters and sequences are listed in code point order. Users should be shown a more natural order.
# See the CLDR collation order for Emoji.

# ================================================

# Basic_Emoji

231A..231B    ; Basic_Emoji              ; watch                                                          #  1.1  [2] (⌚..⌛)
1F6F7..1F6F8  ; Basic_Emoji              ; sled                                                           # 10.0  [2] (🛷..🛸)
1F6F9         ; Basic_Emoji              ; skateboard                                                     # 11.0  [1] (🛹)
1F6FA         ; Basic_Emoji              ; auto rickshaw                                                  # 12.0  [1] (🛺)
1F7E0..1F7EB  ; Basic_Emoji              ; orange circle                                                  # 12.0 [12] (🟠..🟫)
1F90D..1F90F  ; Basic_Emoji              ; white heart                                                    # 12.0  [3] (🤍..🤏)
1F910..1F918  ; Basic_Emoji              ; zipper-mouth face                                              #  8.0  [9] (🤐..🤘)
1F919..1F91E  ; Basic_Emoji              ; call me hand                                                   #  9.0  [6] (🤙..🤞)
1F91F         ; Basic_Emoji              ; love-you gesture                                               # 10.0  [1] (🤟)
1F920..1F927  ; Basic_Emoji              ; cowboy hat face                                                #  9.0  [8] (🤠..🤧)
1F928..1F92F  ; Basic_Emoji              ; face with raised eyebrow                                       # 10.0  [8] (🤨..🤯)
1F930         ; Basic_Emoji              ; pregnant woman                                                 #  9.0  [1] (🤰)
1F931..1F932  ; Basic_Emoji              ; breast-feeding                                                 # 10.0  [2] (🤱..🤲)
1F933..1F93A  ; Basic_Emoji              ; selfie                                                         #  9.0  [8] (🤳..🤺)
1F93C..1F93E  ; Basic_Emoji              ; people wrestling                                               #  9.0  [3] (🤼..🤾)
1F93F         ; Basic_Emoji              ; diving mask                                                    # 12.0  [1] (🤿)
1F940..1F945  ; Basic_Emoji              ; wilted flower                                                  #  9.0  [6] (🥀..🥅)
1F947..1F94B  ; Basic_Emoji              ; 1st place medal                                                #  9.0  [5] (🥇..🥋)
1F94C         ; Basic_Emoji              ; curling stone                                                  # 10.0  [1] (🥌)
1F94D..1F94F  ; Basic_Emoji              ; lacrosse                                                       # 11.0  [3] (🥍..🥏)
1F950..1F95E  ; Basic_Emoji              ; croissant                                                      #  9.0 [15] (🥐..🥞)
1F95F..1F96B  ; Basic_Emoji              ; dumpling                                                       # 10.0 [13] (🥟..🥫)
1F96C..1F970  ; Basic_Emoji              ; leafy green                                                    # 11.0  [5] (🥬..🥰)
1F971         ; Basic_Emoji              ; yawning face                                                   # 12.0  [1] (🥱)
1F973..1F976  ; Basic_Emoji              ; partying face                                                  # 11.0  [4] (🥳..🥶)
1F97A         ; Basic_Emoji              ; pleading face                                                  # 11.0  [1] (🥺)
1F97B         ; Basic_Emoji              ; sari                                                           # 12.0  [1] (🥻)
1F97C..1F97F  ; Basic_Emoji              ; lab coat                                                       # 11.0  [4] (🥼..🥿)
1F980..1F984  ; Basic_Emoji              ; crab                                                           #  8.0  [5] (🦀..🦄)
1F985..1F991  ; Basic_Emoji              ; eagle                                                          #  9.0 [13] (🦅..🦑)
1F992..1F997  ; Basic_Emoji              ; giraffe                                                        # 10.0  [6] (🦒..🦗)
1F998..1F9A2  ; Basic_Emoji              ; kangaroo                                                       # 11.0 [11] (🦘..🦢)
1F9A5..1F9AA  ; Basic_Emoji              ; sloth                                                          # 12.0  [6] (🦥..🦪)
1F9AE..1F9AF  ; Basic_Emoji              ; guide dog                                                      # 12.0  [2] (🦮..🦯)
1F9B0..1F9B9  ; Basic_Emoji              ; red hair                                                       # 11.0 [10] (🦰..🦹)
1F9BA..1F9BF  ; Basic_Emoji              ; safety vest                                                    # 12.0  [6] (🦺..🦿)
1F9C0         ; Basic_Emoji              ; cheese wedge                                                   #  8.0  [1] (🧀)
1F9C1..1F9C2  ; Basic_Emoji              ; cupcake                                                        # 11.0  [2] (🧁..🧂)
1F9C3..1F9CA  ; Basic_Emoji              ; beverage box                                                   # 12.0  [8] (🧃..🧊)
1F9CD..1F9CF  ; Basic_Emoji              ; person standing                                                # 12.0  [3] (🧍..🧏)
1F9D0..1F9E6  ; Basic_Emoji              ; face with monocle                                              # 10.0 [23] (🧐..🧦)
1F9E7..1F9FF  ; Basic_Emoji              ; red envelope                                                   # 11.0 [25] (🧧..🧿)
1FA70..1FA73  ; Basic_Emoji              ; ballet shoes                                                   # 12.0  [4] (🩰..🩳)
1FA78..1FA7A  ; Basic_Emoji              ; drop of blood                                                  # 12.0  [3] (🩸..🩺)
1FA80..1FA82  ; Basic_Emoji              ; yo-yo                                                          # 12.0  [3] (🪀..🪂)
1FA90..1FA95  ; Basic_Emoji              ; ringed planet                                                  # 12.0  [6] (🪐..🪕)
00A9 FE0F     ; Basic_Emoji              ; copyright                                                      #  3.2  [1] (©️)
00AE FE0F     ; Basic_Emoji              ; registered                                                     #  3.2  [1] (®️)
203C FE0F     ; Basic_Emoji              ; double exclamation mark                                        #  3.2  [1] (‼️)
2049 FE0F     ; Basic_Emoji              ; exclamation question mark                                      #  3.2  [1] (⁉️)
2122 FE0F     ; Basic_Emoji              ; trade mark                                                     #  3.2  [1] (™️)
2139 FE0F     ; Basic_Emoji              ; information                                                    #  3.2  [1] (ℹ️)
2194 FE0F     ; Basic_Emoji              ; left-right arrow                                               #  3.2  [1] (↔️)
2195 FE0F     ; Basic_Emoji              ; up-down arrow                                                  #  3.2  [1] (↕️)
2196 FE0F     ; Basic_Emoji              ; up-left arrow                                                  #  3.2  [1] (↖️)
2197 FE0F     ; Basic_Emoji              ; up-right arrow                                                 #  3.2  [1] (↗️)
2198 FE0F     ; Basic_Emoji              ; down-right arrow                                               #  3.2  [1] (↘️)
2199 FE0F     ; Basic_Emoji              ; down-left arrow                                                #  3.2  [1] (↙️)
21A9 FE0F     ; Basic_Emoji              ; right arrow curving left                                       #  3.2  [1] (↩️)
21AA FE0F     ; Basic_Emoji              ; left arrow curving right                                       #  3.2  [1] (↪️)
2328 FE0F     ; Basic_Emoji              ; keyboard                                                       #  3.2  [1] (⌨️)
23CF FE0F     ; Basic_Emoji              ; eject button                                                   #  4.0  [1] (⏏️)
23ED FE0F     ; Basic_Emoji              ; next track button                                              #  6.0  [1] (⏭️)
23EE FE0F     ; Basic_Emoji              ; last track button                                              #  6.0  [1] (⏮️)
23EF FE0F     ; Basic_Emoji              ; play or pause button                                           #  6.0  [1] (⏯️)
23F1 FE0F     ; Basic_Emoji              ; stopwatch                                                      #  6.0  [1] (⏱️)
23F2 FE0F     ; Basic_Emoji              ; timer clock                                                    #  6.0  [1] (⏲️)
23F8 FE0F     ; Basic_Emoji              ; pause button                                                   #  7.0  [1] (⏸️)
23F9 FE0F     ; Basic_Emoji              ; stop button                                                    #  7.0  [1] (⏹️)
23FA FE0F     ; Basic_Emoji              ; record button                                                  #  7.0  [1] (⏺️)
24C2 FE0F     ; Basic_Emoji              ; circled M                                                      #  3.2  [1] (Ⓜ️)
25AA FE0F     ; Basic_Emoji              ; black small square                                             #  3.2  [1] (▪️)
25AB FE0F     ; Basic_Emoji              ; white small square                                             #  3.2  [1] (▫️)
25B6 FE0F     ; Basic_Emoji              ; play button                                                    #  3.2  [1] (▶️)
25C0 FE0F     ; Basic_Emoji              ; reverse button                                                 #  3.2  [1] (◀️)
25FB FE0F     ; Basic_Emoji              ; white medium square                                            #  3.2  [1] (◻️)
25FC FE0F     ; Basic_Emoji              ; black medium square                                            #  3.2  [1] (◼️)
2600 FE0F     ; Basic_Emoji              ; sun                                                            #  3.2  [1] (☀️)
2601 FE0F     ; Basic_Emoji              ; cloud                                                          #  3.2  [1] (☁️)
2602 FE0F     ; Basic_Emoji              ; umbrella                                                       #  3.2  [1] (☂️)
2603 FE0F     ; Basic_Emoji              ; snowman                                                        #  3.2  [1] (☃️)
2604 FE0F     ; Basic_Emoji              ; comet                                                          #  3.2  [1] (☄️)
260E FE0F     ; Basic_Emoji              ; telephone                                                      #  3.2  [1] (☎️)
2611 FE0F     ; Basic_Emoji              ; check box with check                                           #  3.2  [1] (☑️)
2618 FE0F     ; Basic_Emoji              ; shamrock                                                       #  4.1  [1] (☘️)
261D FE0F     ; Basic_Emoji              ; index pointing up                                              #  3.2  [1] (☝️)
2620 FE0F     ; Basic_Emoji              ; skull and crossbones                                           #  3.2  [1] (☠️)
2622 FE0F     ; Basic_Emoji              ; radioactive                                                    #  3.2  [1] (☢️)
2623 FE0F     ; Basic_Emoji              ; biohazard                                                      #  3.2  [1] (☣️)
2626 FE0F     ; Basic_Emoji              ; orthodox cross                                                 #  3.2  [1] (☦️)
262A FE0F     ; Basic_Emoji              ; star and crescent                                              #  3.2  [1] (☪️)
262E FE0F     ; Basic_Emoji              ; peace symbol                                                   #  3.2  [1] (☮️)
262F FE0F     ; Basic_Emoji              ; yin yang                                                       #  3.2  [1] (☯️)
2638 FE0F     ; Basic_Emoji              ; wheel of dharma                                                #  3.2  [1] (☸️)
2639 FE0F     ; Basic_Emoji              ; frowning face                                                  #  3.2  [1] (☹️)
263A FE0F     ; Basic_Emoji              ; smiling face                                                   #  3.2  [1] (☺️)
2640 FE0F     ; Basic_Emoji              ; female sign                                                    #  3.2  [1] (♀️)
2642 FE0F     ; Basic_Emoji              ; male sign                                                      #  3.2  [1] (♂️)
265F FE0F     ; Basic_Emoji              ; chess pawn                                                     #  3.2  [1] (♟️)
2660 FE0F     ; Basic_Emoji              ; spade suit                                                     #  3.2  [1] (♠️)
2663 FE0F     ; Basic_Emoji              ; club suit                                                      #  3.2  [1] (♣️)
2665 FE0F     ; Basic_Emoji              ; heart suit                                                     #  3.2  [1] (♥️)
2666 FE0F     ; Basic_Emoji              ; diamond suit                                                   #  3.2  [1] (♦️)
2668 FE0F     ; Basic_Emoji              ; hot springs                                                    #  3.2  [1] (♨️)
267B FE0F     ; Basic_Emoji              ; recycling symbol                                               #  3.2  [1] (♻️)
267E FE0F     ; Basic_Emoji              ; infinity                                                       #  4.1  [1] (♾️)
2692 FE0F     ; Basic_Emoji              ; hammer and pick                                                #  4.1  [1] (⚒️)
2694 FE0F     ; Basic_Emoji              ; crossed swords                                                 #  4.1  [1] (⚔️)
2695 FE0F     ; Basic_Emoji              ; medical symbol                                                 #  4.1  [1] (⚕️)
2696 FE0F     ; Basic_Emoji              ; balance scale                                                  #  4.1  [1] (⚖️)
2697 FE0F     ; Basic_Emoji              ; alembic                                                        #  4.1  [1] (⚗️)
2699 FE0F     ; Basic_Emoji              ; gear                                                           #  4.1  [1] (⚙️)
269B FE0F     ; Basic_Emoji              ; atom symbol                                                    #  4.1  [1] (⚛️)
269C FE0F     ; Basic_Emoji              ; fleur-de-lis                                                   #  4.1  [1] (⚜️)
26A0 FE0F     ; Basic_Emoji              ; warning                                                        #  4.0  [1] (⚠️)
26B0 FE0F     ; Basic_Emoji              ; coffin                                                         #  4.1  [1] (⚰️)
26B1 FE0F     ; Basic_Emoji              ; funeral urn                                                    #  4.1  [1] (⚱️)
26C8 FE0F     ; Basic_Emoji              ; cloud with lightning and rain                                  #  5.2  [1] (⛈️)
26CF FE0F     ; Basic_Emoji              ; pick                                                           #  5.2  [1] (⛏️)
26D1 FE0F     ; Basic_Emoji              ; rescue worker’s helmet                                         #  5.2  [1] (⛑️)
26D3 FE0F     ; Basic_Emoji              ; chains                                                         #  5.2  [1] (⛓️)
26E9 FE0F     ; Basic_Emoji              ; shinto shrine                                                  #  5.2  [1] (⛩️)
26F0 FE0F     ; Basic_Emoji              ; mountain                                                       #  5.2  [1] (⛰️)
26F1 FE0F     ; Basic_Emoji              ; umbrella on ground                                             #  5.2  [1] (⛱️)
26F4 FE0F     ; Basic_Emoji              ; ferry                                                          #  5.2  [1] (⛴️)
26F7 FE0F     ; Basic_Emoji              ; skier                                                          #  5.2  [1] (⛷️)
26F8 FE0F     ; Basic_Emoji              ; ice skate                                                      #  5.2  [1] (⛸️)
26F9 FE0F     ; Basic_Emoji              ; person bouncing ball                                           #  5.2  [1] (⛹️)
2702 FE0F     ; Basic_Emoji              ; scissors                                                       #  3.2  [1] (✂️)
2708 FE0F     ; Basic_Emoji              ; airplane                                                       #  3.2  [1] (✈️)
2709 FE0F     ; Basic_Emoji              ; envelope                                                       #  3.2  [1] (✉️)
270C FE0F     ; Basic_Emoji              ; victory hand                                                   #  3.2  [1] (✌️)
270D FE0F     ; Basic_Emoji              ; writing hand                                                   #  3.2  [1] (✍️)
270F FE0F     ; Basic_Emoji              ; pencil                                                         #  3.2  [1] (✏️)
2712 FE0F     ; Basic_Emoji              ; black nib                                                      #  3.2  [1] (✒️)
2714 FE0F     ; Basic_Emoji              ; check mark                                                     #  3.2  [1] (✔️)
2716 FE0F     ; Basic_Emoji              ; multiplication sign                                            #  3.2  [1] (✖️)
271D FE0F     ; Basic_Emoji              ; latin cross                                                    #  3.2  [1] (✝️)
2721 FE0F     ; Basic_Emoji              ; star of David                                                  #  3.2  [1] (✡️)
2733 FE0F     ; Basic_Emoji              ; eight-spoked asterisk                                          #  3.2  [1] (✳️)
2734 FE0F     ; Basic_Emoji              ; eight-pointed star                                             #  3.2  [1] (✴️)
2744 FE0F     ; Basic_Emoji              ; snowflake                                                      #  3.2  [1] (❄️)
2747 FE0F     ; Basic_Emoji              ; sparkle                                                        #  3.2  [1] (❇️)
2763 FE0F     ; Basic_Emoji              ; heart exclamation                                              #  3.2  [1] (❣️)
2764 FE0F     ; Basic_Emoji              ; red heart                                                      #  3.2  [1] (❤️)
27A1 FE0F     ; Basic_Emoji              ; right arrow                                                    #  3.2  [1] (➡️)
2934 FE0F     ; Basic_Emoji              ; right arrow curving up                                         #  3.2  [1] (⤴️)
2935 FE0F     ; Basic_Emoji              ; right arrow curving down                                       #  3.2  [1] (⤵️)
2B05 FE0F     ; Basic_Emoji              ; left arrow                                                     #  4.0  [1] (⬅️)
2B06 FE0F     ; Basic_Emoji              ; up arrow                                                       #  4.0  [1] (⬆️)
2B07 FE0F     ; Basic_Emoji              ; down arrow                                                     #  4.0  [1] (⬇️)
3030 FE0F     ; Basic_Emoji              ; wavy dash                                                      #  3.2  [1] (〰️)
303D FE0F     ; Basic_Emoji              ; part alternation mark                                          #  3.2  [1] (〽️)
3297 FE0F     ; Basic_Emoji              ; Japanese “congratulations” button                              #  3.2  [1] (㊗️)
3299 FE0F     ; Basic_Emoji              ; Japanese “secret” button                                       #  3.2  [1] (㊙️)
1F170 FE0F    ; Basic_Emoji              ; A button (blood type)                                          #  6.0  [1] (🅰️)
1F171 FE0F    ; Basic_Emoji              ; B button (blood type)                                          #  6.0  [1] (🅱️)
1F17E FE0F    ; Basic_Emoji              ; O button (blood type)                                          #  6.0  [1] (🅾️)
1F17F FE0F    ; Basic_Emoji              ; P button                                                       #  5.2  [1] (🅿️)
1F202 FE0F    ; Basic_Emoji              ; Japanese “service charge” button                               #  6.0  [1] (🈂️)
1F237 FE0F    ; Basic_Emoji              ; Japanese “monthly amount” button                               #  6.0  [1] (🈷️)
1F321 FE0F    ; Basic_Emoji              ; thermometer                                                    #  7.0  [1] (🌡️)
1F324 FE0F    ; Basic_Emoji              ; sun behind small cloud                                         #  7.0  [1] (🌤️)
1F325 FE0F    ; Basic_Emoji              ; sun behind large cloud                                         #  7.0  [1] (🌥️)
1F326 FE0F    ; Basic_Emoji              ; sun behind rain cloud                                          #  7.0  [1] (🌦️)
1F327 FE0F    ; Basic_Emoji              ; cloud with rain                                                #  7.0  [1] (🌧️)
1F328 FE0F    ; Basic_Emoji              ; cloud with snow                                                #  7.0  [1] (🌨️)
1F329 FE0F    ; Basic_Emoji              ; cloud with lightning                                           #  7.0  [1] (🌩️)
1F32A FE0F    ; Basic_Emoji              ; tornado                                                        #  7.0  [1] (🌪️)
1F32B FE0F    ; Basic_Emoji              ; fog                                                            #  7.0  [1] (🌫️)
1F32C FE0F    ; Basic_Emoji              ; wind face                                                      #  7.0  [1] (🌬️)
1F336 FE0F    ; Basic_Emoji              ; hot pepper                                                     #  7.0  [1] (🌶️)
1F37D FE0F    ; Basic_Emoji              ; fork and knife with plate                                      #  7.0  [1] (🍽️)
1F396 FE0F    ; Basic_Emoji              ; military medal                                                 #  7.0  [1] (🎖️)
1F397 FE0F    ; Basic_Emoji              ; reminder ribbon                                                #  7.0  [1] (🎗️)
1F399 FE0F    ; Basic_Emoji              ; studio microphone                                              #  7.0  [1] (🎙️)
1F39A FE0F    ; Basic_Emoji              ; level slider                                                   #  7.0  [1] (🎚️)
1F39B FE0F    ; Basic_Emoji              ; control knobs                                                  #  7.0  [1] (🎛️)
1F39E FE0F    ; Basic_Emoji              ; film frames                                                    #  7.0  [1] (🎞️)
1F39F FE0F    ; Basic_Emoji              ; admission tickets                                              #  7.0  [1] (🎟️)
1F3CB FE0F    ; Basic_Emoji              ; person lifting weights                                         #  7.0  [1] (🏋️)
1F3CC FE0F    ; Basic_Emoji              ; person golfing                                                 #  7.0  [1] (🏌️)
1F3CD FE0F    ; Basic_Emoji              ; motorcycle                                                     #  7.0  [1] (🏍️)
1F3CE FE0F    ; Basic_Emoji              ; racing car                                                     #  7.0  [1] (🏎️)
1F3D4 FE0F    ; Basic_Emoji              ; snow-capped mountain                                           #  7.0  [1] (🏔️)
